No,Title,Writer,Date,Status
12368,전국전기차충전소표준데이터,강***,2016-10-19,완료
12365,항공기 운항정보에서 국제선 운항스케줄에 관한 문의입니다.,정***,2016-10-19,완료
12358,일일 트래픽 관련 문의,김***,2016-10-18,완료
12360,인증 에러,조***,2016-10-19,완료
12361,인증키 오류,서***,2016-10-19,완료
12356,파일데이터 활용방법 문의,홍***,2016-10-18,완료
12354,식품 영양성분 함량정보 서비스 유알엘 관련 문의,전***,2016-10-18,완료
12350,기상청 데이터 관련,임***,2016-10-18,완료
12347,서울버스 운행정보 관련 문의,박***,2016-10-18,완료
12342,서울 버스 api 연동 관련,박***,2016-10-18,완료
12343,약국찾기 서비스 문의,권***,2016-10-18,완료
12344,버스노선정보/위치정보 API 관련문의,이***,2016-10-18,완료
12340,파일데이터 관련하여 문의 드립니다.,홍***,2016-10-18,완료
12338,오류신고가 되지 않습니다.,배***,2016-10-18,완료
12335,일일기상데이터 연계관련 재문의드립니다.,조***,2016-10-17,완료
12336,활용현황 누락,채***,2016-10-17,완료
12325,요양기관 개업 현황 2015 자료에 대한 오류 재 신고,이***,2016-10-17,완료
12329,용도지역지구구분 행정코드 과거자료 요청,김***,2016-10-17,완료
12332,SERVICE KEY IS NOT REGISTERED ERROR.,정***,2016-10-17,완료
12321,운영계정 관련 질문입니다.,김***,2016-10-17,완료
12320,위치기반 서비스 사업자 관련 문의,최***,2016-10-17,완료
12323,토지이용계획WFS조회 시 xml 파싱 문의,배***,2016-10-17,완료
12326,인증키 질문,강***,2016-10-17,완료
12328,인증키 에러 문제 해결 부탁드립니다.,최***,2016-10-17,완료
12319,입찰공고정보 조회 서비스 문의 드립니다.,김***,2016-10-17,완료
12314,SERVICE KEY IS NOT REGISTERED ERROR,김***,2016-10-16,완료
12312,인증키 오류 뜹니다.,김***,2016-10-15,완료
12304,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR.,김***,2016-10-14,완료
12299,지방행정 데이터 관련 업데이트 주기 문의,이***,2016-10-14,완료
12309,API 미리보기 데이터 관련 질문,이***,2016-10-14,완료
12292,운영계정을 개발계정 이전,손***,2016-10-13,완료
12297,인증키 관련 문의합니다,남***,2016-10-14,완료
12306,기상청의 생활기상지수와 보건기상지수 문의,김***,2016-10-14,완료
12302,방화벽 포트 관련 질문,박***,2016-10-14,완료
12289,용역조달관련 3분기 자료 등록 요청드립니다,박***,2016-10-13,완료
12288,SERVICE KEY IS NOT REGISTERED ERROR가 납니다,이***,2016-10-13,완료
12279,분석리포트 정보 상세 조회 오류,최***,2016-10-13,완료
12286,OPEN API 사용 에러,김***,2016-10-13,완료
12282,서비스 신청 오류,국******,2016-10-13,완료
12264,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR.,김***,2016-10-11,완료
12276,일반 인증키 재발급이라는게 뭔가요?,이***,2016-10-12,완료
12273,인천공항 OPEN API 관련,김***,2016-10-12,완료
12266,service key is not registered error 다시 문의드립니다,위***,2016-10-11,완료
12271,Key인증실패: SERVICE KEY IS NOT REGISTERED ERROR.,박***,2016-10-12,완료
12265,지하철정보서비스 의 출력결과에 대한 문의,정***,2016-10-11,완료
12274,전라남도 대표 명주(전통술),강***,2016-10-12,완료
12272,기상정보 open api 연계 데이터를 가져오지 못함,조***,2016-10-12,완료
12267,나라장터 사전규격 (시설/공사) 관련 OpenAPI 제공 문의,손***,2016-10-11,완료
12258,세종시 공공자전거 어울링 조회가 안됩니다.,김***,2016-10-11,완료
12253,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR.,김***,2016-10-11,완료
12260,부산 문화/공연/전시 정보서비스  상세 정보 조회에 관해서 물어볼게요,최***,2016-10-11,완료
12259,(신)동네예보정보조회서비스 결과,한***,2016-10-11,완료
12250,SERVICE KEY IS NOT REGISTERED ERROR에 대해 문의 드립니다.,심***,2016-10-11,완료
12249,안녕하세요. (신)동네예보정보조회서비스 SERVICE KEY IS NOT REGISTERED ERROR라고 뜹니다..,지***,2016-10-11,완료
12255,service key is not registered error 다시 문의드립니다,위***,2016-10-11,완료
12247,NORMAL SERVICE 문제,홍***,2016-10-10,완료
12256,승강기 정보,김***,2016-10-11,완료
12183,문의합니다.,이***,2016-10-04,완료
12245,업데이트가 많이 필요한것 같네요.,이***,2016-10-10,완료
12248,전국 약국 정보 조회 서비스 api 가 실행되지 않습니다.,한***,2016-10-10,완료
12252,"관세청의 수출입 실적서비스 이용관련, SERVICE ACCESS DENIED ERROR입니다.",k******,2016-10-11,완료
12243,api 미리보기 실행시 오류,위***,2016-10-10,완료
12238,api 조회가 실패합니다.,정***,2016-10-10,완료
12241,API 호출하니 응답이 Redirect(302) 가 내려옵니다.,김***,2016-10-10,완료
12233,왜 일일트래픽이 계속 0이죠?,김***,2016-10-08,완료
12237,노선정보 서비스에 API키가 에러가 납니다.,김***,2016-10-10,완료
12230,동네예보조회서비스 대한 질문,P******,2016-10-07,완료
12235,실시간 미세먼지 정보,박***,2016-10-10,완료
12229,API 서비스 신청 후 거부,강***,2016-10-07,완료
12231,데이터 정보가 전체가 안뜨는이유가 뭔가요?,민***,2016-10-08,완료
12234,실거래가 api이용 장애,이***,2016-10-10,완료
12222,경기도 버스 관련 문의 드립니다.,박***,2016-10-07,완료
12226,API 연장 신청에 대해서 문의 드립니다.,심***,2016-10-07,완료
12217,SERVICE KEY IS NOT REGISTERED ERROR 관련 문의입니다..,박***,2016-10-07,완료
12228,SERVICE KEY IS NOT REGISTERED ERROR,최***,2016-10-07,완료
12227,기상청 동네예보조회 대한 질문,P******,2016-10-07,완료
12218,API 호출 관련,한***,2016-10-07,완료
12219,SERVICE KEY IS NOT REGISTERED ERROR 문의입니다.,전***,2016-10-07,완료
12225,열차 정보 서비스 이용안내,노***,2016-10-07,완료
12215,데이터 업로드 부탁드립니다.,이***,2016-10-06,완료
12224,공지 내용 변경 요청드립니다.,양***,2016-10-07,완료
12212,도시공원정보가 안뜨는데요 ㅜㅜ,이***,2016-10-06,완료
12204,http://soap.search.open.nadl 사이트 에러 납니다. SERVICE KEY IS NOT REGISTERED ERROR,이***,2016-10-05,완료
12211,한국 환경공단 국가 대기오염정보 오류,이***,2016-10-06,완료
12206,"상가(상권)정보 ""상가업소 DB""에 오류 확인부탁드립니다..",서***,2016-10-06,완료
12192,부산 국제수산물도매시장 금일반입량정보가 제대로 안나옵니다.,박***,2016-10-05,완료
12194,반여농산물도매시장 거래가격정보가 제대로 안됩니다.,박***,2016-10-05,완료
12144,서울버스 버스 도착 방향 관련 문의 드립니다.,박***,2016-09-30,완료
12209,공지사항 등록 요청,양***,2016-10-06,완료
12208,인증부탁드립니다,이***,2016-10-06,완료
12207,경기 기반 버스 정보 관련,박***,2016-10-06,완료
12158,OPEN API 호출시 Error 500--Internal Server Error 발생합니다.,소***,2016-10-01,완료
12186,service key is not registered error,장***,2016-10-05,완료
12188,일일트래픽 문의드립니다.,고***,2016-10-05,완료
12195,산림청 api 에러,이***,2016-10-05,완료
12191,크롬에서 API 활용신청시,한***,2016-10-05,완료
12189,오류가 뜹니다.,한***,2016-10-05,완료
12184,버스위치정보조회서비스 서비스 키 오류,홍***,2016-10-04,완료
12182,서비스키 오류내용이 이렇습니다.,이***,2016-10-04,완료
12181,SERVICE KEY IS NOT REGISTERED ERROR,박***,2016-10-04,완료
12185,유관기관스크랩 정보 조회- 어제에 이어 오늘도 발생된오류,최***,2016-10-05,완료
12171,(신) 동네예보정보조회 개발 문의,이***,2016-10-04,완료
12159,오류가 있네요.,이***,2016-10-04,완료
12179,서비스키 적용이안되요..,이***,2016-10-04,완료
12180,기상청 자료 관련 질문 드립니다.,남***,2016-10-04,완료
12177,SERVICE KEY IS NOT REGISTERED ERROR,이***,2016-10-04,완료
12167,전국 산업단지 입주 업체 리스트에 관해...,공***,2016-10-04,완료
12174,NO_MANDATORY_REQUEST_PARAMETERS_ERROR,임***,2016-10-04,완료
12166,대기오염정보조회 추가 승인건 관련,아******,2016-10-04,완료
12153,저작권 표기에 대한 문의를 드립니다.,현***,2016-09-30,완료
12154,울산 교통정보 데이터 받는 것이 잘 안됩니다.,김***,2016-09-30,완료
12161,SERVICE KEY IS NOT REGISTERED ERROR.,김***,2016-10-02,완료
12165,유관기관스크랩 정보 상세 조회  API 관련,최***,2016-10-04,완료
12156,Limited number of Service requests exceeds error 가 뜹니다,민***,2016-09-30,완료
12157,SERVICE ACCESS DENIED ERROR가 뜨네요,민***,2016-09-30,완료
12155,군 미필자 해외여행에 대해,박***,2016-09-30,완료
12164,문의,윤***,2016-10-03,완료
12128,추가 문의,이***,2016-09-28,완료
12151,KOICA ODA 사업정보 오류에 대해 다시 문의드립니다.,변***,2016-09-30,완료
