No,Title,Writer,Date,Status
9249,부산쪽 api들 SERVICE KEY IS NOT REGISTERED ERROR,김***,2016-02-12,완료
9248,SERVICE KEY IS NOT REGISTERED ERROR,박***,2016-02-12,완료
9247,SERVICE KEY IS NOT REGISTERED ERROR,박***,2016-02-12,완료
9240,SERVICE KEY IS NOT REGISTERED ERROR,(******,2016-02-12,완료
9241,자격증문제,김***,2016-02-12,완료
9246,부산쪽 api 들.. SERVICE KEY IS NOT REGISTERED ERROR,김***,2016-02-12,완료
9239,현역병 의무심사 자료 관련,유***,2016-02-11,완료
9237,입영일자 본인선택 추가접수 공석안내(2.16. 14:00)에 대한 질문입니다!,조***,2016-02-11,완료
9231,SERVICE KEY IS NOT REGISTERED ERROR,(******,2016-02-11,완료
9234,오픈API를 이용해서 음력정보를 제공받고 있는데 속도가 너무 느립니다.,김***,2016-02-11,완료
9233,전기안전관리 대행업,황****,2016-02-11,완료
9232,플라스틱 용기  (통)    스티로폼 아이스박스 등 제조 공장,이***,2016-02-11,완료
9026,법제처 국가법령 공유정보 공유서비스api 서비스키 에러문의,k*****,2016-01-21,완료
9230,SERVICE KEY IS NOT REGISTERED ERROR,한******,2016-02-11,완료
9225,제가궁금한게 있는데요,홍***,2016-02-07,완료
9227,기술행정병 전공과,구***,2016-02-08,완료
9223,사회복무요원 공석 신청을 하고 싶습니다.,김***,2016-02-07,완료
9222,자격증,이***,2016-02-06,완료
9215,동네 예보 파일 데이터,이***,2016-02-04,완료
9219,운영계정 신청 취소는 할 수 없는지요?,김***,2016-02-05,완료
9220,징병검사변경,이***,2016-02-05,완료
9214,의안정보 api문의 드립니다.,유***,2016-02-04,완료
9217,승인 요청,설***,2016-02-05,완료
9218,[긴급] DB연동이 안되요,한***,2016-02-05,완료
9165,알림 문의,민***,2016-02-02,완료
9202,로그인창 관련..,부**,2016-02-04,완료
9207,api 승인 심사 기간,김***,2016-02-04,완료
9203,상가(상권)정보 관련 문의입니다.,정***,2016-02-04,완료
9204,평발 때문에 재징병검사신청하려 합니다.,정***,2016-02-04,완료
9201,Service Key,이***,2016-02-04,완료
9200,Service Key,이***,2016-02-04,완료
9196,군대에 있는 친구 정신병으로 진료문의,최***,2016-02-03,완료
9197,군 지원 관련 질문 있습니다.,이***,2016-02-03,완료
9198,재검관련해서질문드립니다,정***,2016-02-04,완료
9190,UNREGISTERED IP ERROR.,이***,2016-02-03,완료
9183,정류소정보조회 서비스 신청,조***,2016-02-03,완료
9188,SERVICE KEY IS NOT REGISTERED ERROR,정***,2016-02-03,완료
9186,SERVICE KEY NOT REGISTERED ERROR 문의,이***,2016-02-03,완료
9184,파이썬3.5 개발중인데 서비스키 에러가 나옵니다.,임***,2016-02-03,완료
9172,기관이 자체적으로 운영하는 방법용 CCTV 운영정보 개방 관련,권***,2016-02-02,완료
9182,QnA 댓글 기능 요청.,위******,2016-02-02,완료
9181,기관 관리자페이지 및 위젯 다운로드 등,강***,2016-02-02,완료
9180,추출결과 0건 입니다.,임***,2016-02-02,완료
9174,인증키 미출력 문의드립니다.,류***,2016-02-02,완료
8657,서비스 승인이 되지 않고 있습니다. (재재문의),박***,2015-12-17,완료
9170,정류소정보조회 서비스 신청 문의,조***,2016-02-02,완료
9166,기창성 동네예보 가지오기 문의사항(신규),백***,2016-02-02,완료
9173,전국 응급의료정보조회 서비스 open api 사용하려는데 ..,장***,2016-02-02,완료
