No,Title,Writer,Date,Status
9145,대기오염정보서비스,김***,2016-02-01,완료
9163,이메일 주소 변경이 안됩니다.,김***,2016-02-02,완료
9045,산지공판장 경락가격정보 서비스와 농수축산물 도매시장 상세 경락가격 서비스에 대해 문의 드립니다.,김***,2016-01-24,완료
9162,군대,박***,2016-02-02,완료
9161,예비군 면제,윤***,2016-02-01,완료
9159,기상청_신규 동네예보정보조회서비스 문의,김***,2016-02-01,완료
9154,의안정보 관련 문의 사항입니다.,손***,2016-02-01,완료
9158,공공데이터 활용,이***,2016-02-01,완료
9152,버스 이용률,강***,2016-02-01,완료
9155,국회의원 정보 API 활용 문의,김***,2016-02-01,완료
9151,운영계정 문의드립니다.,박***,2016-02-01,완료
9153,서울시 버스 id 조회 문의,안***,2016-02-01,완료
9148,운영계정 신청 승인 기간,(******,2016-02-01,완료
9142,SGIS OpenAPI 서비스키 문제,고***,2016-01-31,완료
9147,서비스 에러,이***,2016-02-01,완료
9146,공공데이터 심의 진행이 너무 늦어 글을 남겨 봅니다.,최***,2016-02-01,완료
9127,부동산 실거래 API 없어졌는지요?,문***,2016-01-29,완료
9134,날씨 api 활용관련 질의,전***,2016-01-29,완료
9124,4325문의 관련,김***,2016-01-29,완료
9137,SERVICE ACCESS DENIED ERROR 문의,이***,2016-01-29,완료
9135,중기해양예보내역 api 문의,한***,2016-01-29,완료
9114,IROS4_OA_DV_0401_OpenAPI활용가이드_국회의원정보(국회사무처)_v1.1 문제점 질문드립니다.,유***,2016-01-28,완료
9128,api 호출 브라우저 문제.,하****,2016-01-29,완료
9123,SERVICE KEY 미등록 에러 확인 요청,이***,2016-01-29,완료
9119,NO OPENAPI SERVICE ERROR,김***,2016-01-28,완료
9116,개발계정 활용 신청 두개를 더 추가했더니 SERVICE KEY IS NOT REGISTERED ERROR가 뜨네요..,정***,2016-01-28,완료
9112,4328 번 게시물에 이어서 대기오염서비스 오류,김***,2016-01-28,완료
9104,대기오염 측정정보 api 호출시 에러,김***,2016-01-28,완료
9109,대기오염정보 조회 서비스,이***,2016-01-28,완료
9111,대기오염정보서비스 API,김***,2016-01-28,완료
9106,데이터 신청 전화번호 변경,최***,2016-01-28,완료
9102,API실데이터 확인 방법,김***,2016-01-28,완료
9107,버스도착정보 조회 문의드립니다...,조***,2016-01-28,완료
9105,버스도착정보조회 서비스 이용문의,조***,2016-01-28,완료
9108,Invalid Authentication key 가 나옵니다.,이***,2016-01-28,완료
9110,경기도 버스정보에서 기반정보자료 가져오기중,원***,2016-01-28,완료
9113,4324 게시글 연결,김***,2016-01-28,완료
9082,의안정보 데이터 관련,손***,2016-01-27,완료
9100,대기오염정보 조회 서비스 - 시도별 실시간 측정정보 조회 에서 초미세먼지 데이터가 없음.,위******,2016-01-28,완료
9103,(신) 기상청,김***,2016-01-28,완료
9101,(신)동네예보정보조회서비스 api 관련,김***,2016-01-28,완료
9099,등록되지 않은 화면ID,박***,2016-01-28,완료
9078,대기오염정보 조회 서비스 오류 문의,김***,2016-01-26,완료
9095,면세점 관련 데이타 찾는 법 요청드립니다,김***,2016-01-27,완료
9090,청소년 활동정보 자원봉사프로그램 서비스,박***,2016-01-27,완료
9083,공공데이터 포털에서 제공하는 재난안전 분류관련 목록을 조회하고 싶습니다.,장***,2016-01-27,완료
9063,부산시 시내버스 운행정보 서비스 장애,장***,2016-01-26,완료
9091,병원목록 API를 호출했는데 결과가 안나오네요.,김***,2016-01-27,완료
9093,입찰공고정보 신청했는데 자동승인인데 결과가 안나와요,이***,2016-01-27,완료
9086,전국 자원봉사수요처,박***,2016-01-27,완료
9084,SERVICE KEY IS NOT REGISTERED ERROR,윤***,2016-01-27,완료
9053,등록되지 않은 서비스키 에러 관련 문의,김***,2016-01-25,완료
