No,Title,Writer,Date,Status
11403,안증키 에러 문의드립니다,한***,2016-07-22,완료
11407,인증키 사용,김***,2016-07-22,완료
11408,UNREGISTERED IP ERROR 에러가 계속 납니다..,전***,2016-07-22,완료
11397,서비스키 관련 문제입니다.,박***,2016-07-21,완료
11392,"서비스키, 운영계정 관련",강***,2016-07-21,완료
11391,서비스키 받고 테스트로 웹페이지 url에 넣었는데 계속 오류 뜨네요..,전***,2016-07-21,완료
11351,주소 검색문의,이***,2016-07-18,완료
11387,공공데이터 제공 신청 질문,정***,2016-07-20,완료
11389,API 운영계정신청 진행상황,박***,2016-07-21,완료
11388,운영계정신청관련진행상황,이***,2016-07-21,완료
11384,지하철 시간정보 관련.,박***,2016-07-20,완료
11383,2016년 산업기능요원 편입문의,송***,2016-07-20,완료
11364,전국 약국 정보 조회 서비스,허***,2016-07-19,완료
11377,서비스키 관련,강***,2016-07-19,완료
11376,ServiceKey 관련 문의입니다.,전***,2016-07-19,완료
11374,고속도로 영업소 코드집을 어디서 받을 수 있을까요?,김***,2016-07-19,완료
11381,가용한 세션이 없습니다.,안***,2016-07-20,완료
11372,엄궁농산물도매시장 실시간경락정보 문의,이***,2016-07-19,완료
11361,공공 표준데이터 업데이트 주기,이***,2016-07-18,완료
11366,API 질문입니다.,조***,2016-07-19,완료
11338,API 질문,양***,2016-07-15,완료
11354,트래픽초과 관련 문의입니다,유***,2016-07-18,완료
11357,공공데이터포털에 상용S/W의 API를 등록하는 방법,김***,2016-07-18,완료
11349,SERVICE KEY 미등록 에러,이***,2016-07-18,완료
11355,버스도착정보조회 서비스 문의,정***,2016-07-18,완료
11348,출입국관리,양***,2016-07-18,완료
11334,인천공항 API에 관해서 다시 질문드립니다.,정***,2016-07-15,완료
11343,기상청 RSS 가지고 앱 개발중입니다.,한***,2016-07-15,완료
11344,[OPEN API 오류신고] 여행금지제도 / 여행금지제도,여****,2016-07-15,완료
11341,운영계정 신청 관련 문의사항.,이***,2016-07-15,완료
11337,API신청에 관련해서 질문드립니다.,정***,2016-07-15,완료
11339,서비스키 오류 요청,한***,2016-07-15,완료
11336,API 관련문의,양***,2016-07-15,완료
11303,서비스키 오류 문제입니다.,김***,2016-07-12,완료
11319,인천공항 주간 운항현황 출발 및 도착 API에 관해서 문의드립니다.,정***,2016-07-13,완료
11332,부산시 시내버스 운행정보 서비스 API 서비스키,조***,2016-07-14,완료
11324,건축물대장 조회 오류,블******,2016-07-13,완료
11329,SERVICE KEY IS NOT REGISTERED ERROR(버스정류소정보조회서비스),유***,2016-07-14,완료
