No,Title,Writer,Date,Status
876,서비스키 30에러,심***,2012-06-18,완료
873,도로명주소 검색결과 오류,황***,2012-06-18,완료
867,도로명주소검색에서 키워드값에 대한 문의,박***,2012-06-13,완료
875,인증모듈 에러 22번이 뜨네요..,이***,2012-06-18,완료
871,API연동중 에러 관련 입니다.,김***,2012-06-16,완료
872,활용신청이안떠요,이***,2012-06-17,완료
870,인증키 등록,황***,2012-06-15,완료
869,인증키와 서비스키 차이,송***,2012-06-14,완료
868,다운로드 신청,권***,2012-06-14,완료
866,서비스키,김***,2012-06-12,완료
865,질문드립니다.,경******,2012-06-12,완료
864,레퍼런스에 대한 문의,이***,2012-06-11,완료
863,서비스키,이***,2012-06-10,완료
862,고전번역총서 신청 2주 후...,현***,2012-06-06,완료
861,errata,송***,2012-06-05,완료
843,마을버스 운행정보는 어떻게 조회를 할 수 있나요?,박***,2012-05-23,완료
858,보육료 예약 서비스,윤***,2012-06-03,완료
859,도로명주소조회서비스 테스트가 안됩니다.,(******,2012-06-03,완료
857,"client_api-0.5.5.jar api에 관해서 문의 드립니다,",서***,2012-06-02,완료
856,역시 동일한 내용의 오류가 발생합니다.[,김***,2012-06-01,완료
855,기관,(******,2012-06-01,완료
854,서비스키 인증실패라고 떠서요,김***,2012-05-31,완료
851,대중교통 환승 경로 조회 에러,김***,2012-05-30,완료
852,기관사용자,(******,2012-05-30,완료
850,서울시 버스운행정보 관련,조***,2012-05-30,완료
849,첨부된 파일 다운이 안됩니다.,윤***,2012-05-28,완료
848,Key 인증실패 에러요...,강***,2012-05-25,완료
847,SOAP 방식에 관한 질문입니다.,박***,2012-05-24,완료
846,노선정보조회 서비스에 관한 질문입니다.,강***,2012-05-24,완료
844,서비스 신청했습니다. 언제 승인이 될까요?,이***,2012-05-24,완료
838,막차 관련해서 질문이여!,황***,2012-05-20,완료
840,고전번역총서,박***,2012-05-22,완료
837,OGP Action Plan,김***,2012-05-19,완료
836,service key 관련 문의드립니다.,경******,2012-05-17,완료
839,xml파일보기,강***,2012-05-20,완료
835,REST test시 서비스키 등록 문제 입니다.,문***,2012-05-16,완료
834,SOAP 접속 해보았습니다.,문***,2012-05-15,완료
833,트래픽 문의,신***,2012-05-14,완료
832,버스 API 비상업 구분,우***,2012-05-13,완료
831,생활지수와 보건지수에 대한 신청,서***,2012-05-12,완료
830,SERVICE KEY IS NOT REGISTERED ERROR에 대해서 문의합니다.,(******,2012-05-09,완료
829,soap 요청값 문의 입니다.,문***,2012-05-07,완료
818,서울버스 속도가 느려졌습니다,주***,2012-04-30,완료
817,보육예약서비스 산출물 접근시 에러,김***,2012-04-26,완료
815,서비스 신청 승인 관련,구***,2012-04-24,완료
814,버스도착정보조회 서비스 관련해서요...,정***,2012-04-21,완료
813,버스도착정보조회 서비스 관련 재문의,김***,2012-04-19,완료
812,문의,허***,2012-04-19,완료
811,회원가입 후 활용신청 에러,케****,2012-04-19,완료
810,서버 연결 실패,김***,2012-04-18,완료
807,프로그램 활용신청 변경을 하거나 취소를 하고싶은데..,박***,2012-04-16,완료
803,어플리케이션 에러 뜹니다,최***,2012-04-13,완료
804,발급받은 키가 등록되지 않은키로 나옵니다,강***,2012-04-17,완료
805,발급키가 안됩니다..,이***,2012-04-14,완료
806,인증 키 등록 에러 (sessionKeyTool.exe),최***,2012-04-16,완료
802,도로명 주소 API 인증키 문의입니다.,이***,2012-04-13,완료
801,승인여부 문의드립니다.,이***,2012-04-09,완료
800,서울 대중교통 환승 정보 시스템 질문 입니다.,정***,2012-04-07,완료
799,경기도키는 발급을 언제해주나요,경******,2012-04-03,완료
798,경기도키 신청한지 10일이 넘었습니다,박***,2012-04-03,완료
797,key 인증 실패 문의,류***,2012-04-02,완료
796,제 경기도 일반키 속도 다시한번 확인바랍니다.,주***,2012-03-29,완료
795,응답속도가 평균 0.1초라는 말인가요. 제키로 확인해보세요.,주***,2012-03-29,완료
794,발급받은 키가 너무너무 느립니다.,주***,2012-03-28,완료
793,고유번호별 정류소 항목조회 문의사항...,최***,2012-03-26,완료
792,서울버스 도착정보 오류,최***,2012-03-22,완료
790,좌표기반근접정류소목록조회 결과 문의,최***,2012-03-17,완료
791,GBus 버스정보 관련 문의드립니다.,노***,2012-03-20,완료
789,이해가 안되네요 3/5일 신청한키가 아직도 발급안되고 있다니...,양***,2012-03-16,완료
788,지하철 이용경로 목록 서비스 추가질문...,김***,2012-03-14,완료
