No,Title,Writer,Date,Status
14804,"쇠고기, 돼지이력조회시 에러메세지가 나타납니다.",나*****,2017-06-20,완료
14802,"심의기간, 응답코드 500 문의",유***,2017-06-20,완료
14800,api 응답오류,홍***,2017-06-20,완료
14809,OpenAPI 자동화 툴 과련건,최***,2017-06-20,완료
14805,오픈 api - 병원정보서비스[건강정보심사평가원] 병원주소 오류,김***,2017-06-20,완료
14793,아파트매매 실거래자료 API에서 아파트 코드 관련,장***,2017-06-19,완료
14797,음양력 정보제공 서비스의 구현에 관련된 문의 드립니다.,김***,2017-06-19,완료
14801,코드 문의 관련,김***,2017-06-20,완료
14796,SERVICE KEY IS NOT REGISTERED ERROR.,조***,2017-06-19,완료
14795,기구별 공석정보 관련 문의드립니다.,김***,2017-06-19,완료
14790,XML 파싱에러 문의,유***,2017-06-19,완료
14785,SERVICE ACCESS DENIED ERROR.,김***,2017-06-19,완료
14784,오픈 API에서 응답중에 필드 한가지가 안나오네요.,박***,2017-06-19,완료
14782,SERVICE KEY IS NOT REGISTERED ERROR,홍***,2017-06-19,완료
14779,API 키 오류,김***,2017-06-18,완료
14777,API 오류사항,김***,2017-06-16,완료
14776,대기오염정보API,전***,2017-06-16,완료
14735,서비스키 문제..,이***,2017-06-13,완료
14775,대기오염정보 조회 서비스,구***,2017-06-16,완료
14774,api 관련 접속에러 문의입니다.,김***,2017-06-15,완료
14773,JAVA 환경 건축물대장 api 사용시 ERROR,이***,2017-06-15,완료
14581,병원API,박***,2017-05-30,완료
14768,SERVICE KEY IS NOT REGISTERED ERROR,s******,2017-06-15,완료
14767,OPEN API 처리 상태 관련,신***,2017-06-15,완료
14761,SERVICE KEY IS NOT REGISTERED ERROR,김***,2017-06-14,완료
14755,트래픽 증설 요청,김***,2017-06-14,완료
14760,SERVICE KEY IS NOT REGISTERED ERROR.,유***,2017-06-14,완료
14740,라이브러리 및 다운받은 데이터가 공개가 가능하나요?,지***,2017-06-14,완료
14750,30 SERVICE KEY IS NOT REGISTERED ERROR.,오*****,2017-06-14,완료
14728,나라장터 계약정보서비스 문의,박***,2017-06-12,완료
14739,URL,구***,2017-06-13,완료
14733,SERVICE KEY IS NOT REGISTERED ERROR.,홍***,2017-06-13,완료
14726,부산주차장 목록 조회,이***,2017-06-12,완료
14732,초당 요청 갯수 제한 문의 드립니다.,이***,2017-06-13,완료
14731,<DATA 포탈 > 자료활용 문의,조***,2017-06-12,완료
14727,오픈 api 서비스 요청이 안 되는 것 같습니다.,신***,2017-06-12,완료
14725,SERVICE_KEY_IS_NOT_REGISTERED_ERROR,이***,2017-06-12,완료
14701,자료 데이터들의 의미를 알고 싶어요,안***,2017-06-09,완료
14723,공공데이터 포털 목록 수정일이 왜 다르게 나오는지요?,유***,2017-06-12,완료
14722,중기예보정보조회서비스 문의드립니다,이***,2017-06-11,완료
14710,왜 그러는 걸까요 공지도 없고 주말만 되면 API가 안되네요?,김***,2017-06-10,완료
14724,우리나라에서 과거 서머타임 실시 정보,차***,2017-06-12,완료
14711,바다물때 질문,임***,2017-06-10,완료
14714,한국한경공단 openAPI 일일트래픽,최***,2017-06-10,완료
14712,오픈 API 신청 취소,안***,2017-06-10,완료
14706,URL,구***,2017-06-09,완료
14719,인증키 사용이 안돼요.,황***,2017-06-11,완료
14709,에어코리아 10시 부터 응답안하네요,강***,2017-06-10,완료
14708,정보가 나오지 않습니다.,황***,2017-06-09,완료
14707,정보가 나오지 않습니다.,황***,2017-06-09,완료
14720,국민연금 가입 사업장 정보 조회 세션부족.,유***,2017-06-11,완료
14705,우편번호 정보 검색 오류 확인 부탁드립니다.,최***,2017-06-09,완료
14703,데이터 제공에 관해 문의드립니다.,권**,2017-06-09,완료
14702,정상적으로 되던 api가 오늘부터 갑자기 오류 발생,강***,2017-06-09,완료
14698,개별공시지가 관련 문의사항,윤***,2017-06-08,완료
14699,데이터 다운로드,정***,2017-06-08,완료
14696,"교통신호등, 횡단보도",장***,2017-06-08,완료
14695,SERVICE KEY IS NOT REGISTERED ERROR,김***,2017-06-08,완료
14694,[오픈 API 활용 문의] 병원정보 서비스,정***,2017-06-08,완료
14679,날씨 데이터가 없습니다.,임***,2017-06-07,완료
14691,공공데이터 제공 (갱신) 관련 문의,박***,2017-06-08,완료
14684,공공데이터 반려건,장***,2017-06-08,완료
14680,생활기상지수 보건기상지수,구***,2017-06-07,완료
14681,활용계정신청,성***,2017-06-08,완료
14678,일일 트래픽 관련 문의,김***,2017-06-07,완료
14677,API Key 여전히 안됩니다.,김***,2017-06-07,완료
14675,데이터 다운로드,정***,2017-06-07,완료
14676,버스위치정보조회 서비스 관련 문의드립니다,이***,2017-06-07,완료
14674,"국군병원별 의뢰된 정밀신체검사 판정결과 ""귀가 대상 판정률(%)""현황(최근 5년) 등 총 7건",최***,2017-06-07,완료
14673,지역별 환자수 문의,김***,2017-06-07,완료
