No,Title,Writer,Date,Status
2046,OPEN API 제공사업 지원관련 문의,정***,2013-08-30,완료
2045,SERVICE KEY IS NOT REGISTERED ERROR,송***,2013-08-30,완료
2044,동네예보정보조회 서비스 관련 문의합니다,양***,2013-08-30,완료
2043,인증키 재문의,송***,2013-08-29,완료
2042,인증키 등록을 하려고 하는데 실패했다고 뜹니다..,송***,2013-08-29,완료
1978,버스 위치정보 api사용 질문있습니다,김***,2013-08-10,완료
2040,동네예보 실황조회,이***,2013-08-29,완료
2039,변경신청에서 인증유형정보 에대한 문의,윤***,2013-08-29,완료
2037,영문주소조회,서***,2013-08-29,완료
2038,동네기상 인증키 문의,강***,2013-08-29,완료
4393,2011년 이후의 데이터를 가져올 수 없습니다.,s******,2013-08-28,완료
2036,보건기상지수 결과 값에 대하여 문의 드립니다.,류***,2013-08-28,완료
2035,예보구역정보조회 서비스 안되는건가요??,이***,2013-08-28,완료
2034,생활기상기수/보건기상지수 REST아닌가요?,이***,2013-08-28,완료
2033,단기예보조회에서 예보시간에 대해 조회가 안되네요.,이***,2013-08-28,완료
2032,운영계정한거 취소 하고 싶습니다.,이***,2013-08-27,완료
2031,나의 문의/제안 Q&A를 볼 수 없습니다.,류***,2013-08-27,완료
4392,언제쯤 승인받을수 있을까요?,e******,2013-08-27,완료
2008,서비스키 인증 질문,박**,2013-08-20,완료
2030,인증키 등록후 사용가능한 기한이있나요?,윤***,2013-08-27,완료
2029,제공예정 api 오픈되는 시점 좀더 정확히 알수 없나요?,이***,2013-08-27,완료
2027,도로명주소 서비스에서 트래픽 양의 단위가 어떻게 되나요?,윤***,2013-08-26,완료
2025,인증키 등록 시 인증키 등록을 실패하였습니다. 라는 오류메세지 발생,윤***,2013-08-26,완료
2026,동네 예보 가이드 문서 업데이트...,이***,2013-08-26,완료
2023,API사용 중 문의사항,박***,2013-08-26,완료
2022,사용문의 드립니다.,정***,2013-08-26,완료
4382,option 파라미터에 사용되는 항목은 없습니까?,s******,2013-08-23,완료
2020,반려사유 확인요청,김***,2013-08-23,완료
4366,에러문의,s******,2013-08-22,완료
2016,서비스 키가 레지스트 되지 않았다는 에러로 문의합니다.,양***,2013-08-22,완료
2015,기관관리자로 변경 요청,손***,2013-08-22,완료
2014,재문의드립니다.,홍***,2013-08-22,완료
2013,검색오류관련,홍***,2013-08-22,완료
4381,서비스키 첫사용 문의하니 인코딩을 검색하라고 했는데...,s******,2013-08-21,완료
2012,에러메시지관련,홍***,2013-08-21,완료
4380,아래 동네예보서비스 질문관련,s******,2013-08-21,완료
1974,동네예보 격자점 위치와 위경도 간의 전환,이***,2013-08-09,완료
2011,버스정보 API관련,박***,2013-08-21,완료
2009,Interner server error,정***,2013-08-20,완료
2010,조회오류:데이터 마이닝에서 패턴 분류를 위한 다중 SVM 분류기,김***,2013-08-20,완료
4374,검색 결과가 나오지 않습니다.,s******,2013-08-20,완료
2005,기상정보 신청 SERVICE ACCESS DENIED ERROR,김***,2013-08-20,완료
4373,api 동작여부 확인 요청,s******,2013-08-20,완료
2004,티켓할인조회서비스 API 이슈,김***,2013-08-19,완료
2001,도로명주소 호스트헤더 사이트 관련,전***,2013-08-19,완료
2002,서비스키 인코딩문제,김***,2013-08-19,완료
1999,인증키,김***,2013-08-19,완료
1997,가이드 문서 업데이트,이***,2013-08-19,완료
1995,버스정보 질문입니다..,김***,2013-08-17,완료
1994,버스도착정보조회,박***,2013-08-17,완료
1992,활용사례 등록건에 대해서,윤***,2013-08-15,완료
1993,노선ID검색에 대해서 궁금한게 있습니다.,김***,2013-08-16,완료
1989,"온나라, 토지이용계획 지목, 면적, 공시지가",윤**,2013-08-14,완료
1987,서울버스 정보 관련 문의입니다.,윤***,2013-08-14,완료
4365,EndPoint 정보가 첨부된 문서가 서로 달라요.,s******,2013-08-13,완료
1986,경기도 버스 실시간 정보 API 활용 승인이 안나네요;,윤***,2013-08-13,완료
4391,공통정보 조회 응답에서 값이 없는 XML이 전달되고 있습니다.,s******,2013-08-13,완료
1985,SERVICE KEY IS NOT REGISTERED ERROR,김***,2013-08-13,완료
1984,API 문의,류***,2013-08-13,완료
1983,인증키를 매번 다시 받아야 되는지,김***,2013-08-13,완료
4356,지역코드 표같은게 있나요?,s******,2013-08-13,완료
1982,예보시간 문의,이***,2013-08-13,완료
1939,동네예보정보에서 실황조회에 대해서,강***,2013-08-05,완료
1981,SERVICE KEY IS NOT REGISTERED ERROR,김***,2013-08-12,완료
1980,인증키등록,김***,2013-08-12,완료
1979,인증키 질문입니다,박**,2013-08-12,완료
1977,인증키 에러 질문입니다.,김***,2013-08-09,완료
1976,sessionKeyTool을 활용해 인증키를 등록했는데..,조***,2013-08-09,완료
1975,"신규, 재발급 키 모두 사용",이***,2013-08-09,완료
4355,도로명주소조회서비스 api 가 정상 작동중인가요?,s******,2013-08-09,완료
1973,Key 관련,이***,2013-08-09,완료
1970,Service key 문제,이***,2013-08-08,완료
4354,활용기간 및 연장신청,s******,2013-08-08,완료
1968,철도 정보,김***,2013-08-08,완료
1967,정류소노선별도착예정정보목록 조회에대해 문의드립니다,김***,2013-08-08,완료
4372,번역의 정확 여부,s******,2013-08-07,완료
1960,SERVICE ACCESS DENIED ERROR,장***,2013-08-07,완료
1957,오픈 API 관련 질문입니다.,정***,2013-08-06,완료
1956,기상청 API는 동작하나요?,김***,2013-08-06,완료
1955,기상청 지점좌표 문의,김***,2013-08-06,완료
1954,인천 버스 위치 정보 조회 서비스는 어떤 API를 봐야하나요?,윤***,2013-08-06,완료
1953,코드값을 어디서 알아서 코드에 대한 정보를 조회하나요?,김***,2013-08-06,완료
1952,안녕하세요. 문화재청 API 오류에 대해 잘못 문의드린것 같아 다시 보내드립니다.,박***,2013-08-06,완료
1951,UnknownHostException 오류,유***,2013-08-06,완료
1948,도로명 주소 결과,이***,2013-08-06,완료
1949,국회도서관 API 질문입니다.,오***,2013-08-06,완료
1947,문화재청 SOAP API 연동 관련 문의드립니다.,박***,2013-08-05,완료
1946,저번주 금요일에 인빌쇼핑정보조회서비스 인증 및 반려/보류처리가 되지 않아 문의드렸는데 아직 처리되지 않았습니다.,권***,2013-08-05,완료
1943,SERVICE KEY IS NOT REGISTERED ERROR,이***,2013-08-05,완료
1942,문의,박***,2013-08-05,완료
1941,공공정보제공신청에서 신청서 비공개 설정에 대한 질문입니다.,권***,2013-08-05,완료
4364,버스도착정보조회 서비스를 승인받았는데..PHP로 만든 예제는 없나요?,s******,2013-08-02,완료
1937,운영계정신청시..,전***,2013-08-02,완료
1936,익스플러로에서 xml 값이 호출됩니다.,이***,2013-08-02,완료
1934,문의드립니다.,전***,2013-08-02,완료
1933,알려주신 방법으로 해도 같은 결과값이 나오는데?,이***,2013-08-02,완료
1932,도로명주소조회 API의 데이터 결과가 제대로 나오지 않습니다.,이***,2013-08-02,완료
1923,open api,김***,2013-08-01,완료
1930,심의가 필요한 api는 키를 받아놓으면 쓸 수 있는 건가요?,권***,2013-08-02,완료
1931,도로명 주소 조회 서비스,이***,2013-08-02,완료
1929,한글이 깨집니다,표***,2013-08-02,완료
1928,안녕하세요 일일  쿼리 제한수 문의드립니다.,k******,2013-08-02,완료
1927,SERVICE KEY IS NOT REGISTERED ERROR,이***,2013-08-02,완료
1925,xml 로드에 관해서..,박**,2013-08-01,완료
1926,운영계정 등록이 되었는데요,곽***,2013-08-01,완료
1924,유료 서비스 개발에 대해서 입니다.,이***,2013-08-01,완료
1922,기상청 OPEN API 활용신청 심의 승인 받고 인증키까지 받앗는데..,강***,2013-08-01,완료
1921,법제처 openapi,김***,2013-08-01,완료
1902,31번글 인증키 오류 관련 답변 왜 안해줍니까?,조***,2013-07-30,완료
4353,단기예보관련 문의입니다.,s******,2013-08-01,완료
1920,친절한질문 정말감사합니다만..,박**,2013-08-01,완료
1904,동네예보정보조회서비스 관련하여 문의드립니다.,강***,2013-07-30,완료
1918,운영계정취소,곽***,2013-08-01,완료
1919,OPEN API 사용 관련 문의 입니다.,박**,2013-08-01,완료
1917,트래픽 상승,곽***,2013-08-01,완료
1916,허용횟수초과라고 나와서요,곽***,2013-07-31,완료
1915,운영계정 취소하는거;,문***,2013-07-31,완료
4363,SERVICE ACCESS DENIED ERROR,s******,2013-07-31,완료
1898,기상청 주간예보정보조회 서비스 관련 문의입니다.,이***,2013-07-29,완료
1914,운영계정 신청 취소하고 싶습니다.,문***,2013-07-31,완료
1913,오늘 오전에 연락드린 자료검색 서비스 문제입니다.,오***,2013-07-31,완료
1912,일일 트래픽 관련 문의 드립니다.,김***,2013-07-31,완료
4352,오늘 오전에 전화 드린 자료검색 서비스 입니다.,s******,2013-07-31,완료
1911,국문관광정보 Request exceeds,최***,2013-07-31,완료
1910,운영계정 신청 취소하고싶습니다.,문***,2013-07-31,완료
1909,동네예보정보조회서비스 - 실황조회 기능이..,김***,2013-07-30,완료
