No,Title,Writer,Date,Status
11560,동네예보 API 재질문,임***,2016-08-08,완료
11553,기상청 open api 오류,김***,2016-08-08,완료
11555,기상청 동네예보 문의,이***,2016-08-08,완료
11557,기상청 동네예보 문의,임***,2016-08-08,완료
11554,인증오류,김***,2016-08-08,완료
11549,SERVICE KEY IS NOT REGISTERED ERROR,박***,2016-08-05,완료
11544,인증모듈 오류,송***,2016-08-05,완료
11535,건의드립니다,서***,2016-08-05,완료
11545,인증모듈 오류,손***,2016-08-05,완료
11543,데이터 신청,이***,2016-08-05,완료
11539,Invalid cursor state,류***,2016-08-05,완료
11540,UNREGISTERED IP ERROR,권***,2016-08-05,완료
11534,SERVICE KEY IS NOT REGISTERED ERROR,권***,2016-08-04,완료
11537,키 인증 실패에 대해,김***,2016-08-05,완료
11533,키인증실패,정***,2016-08-04,완료
11481,약국 정보 관련 문의,황***,2016-08-01,완료
11527,병원코드정보 서비스 문의드립니다.,김***,2016-08-04,완료
11512,"고속버스터미널 ID 및 고속, 시외 버스 출/도착 정보 데이터 문의 드립니다.",오***,2016-08-03,완료
11480,지하철 api에 질문드립니다.,한***,2016-08-01,완료
11522,정류소정보조회 서비스 api,안***,2016-08-03,완료
11518,SERVICE KEY IS NOT REGISTERED ERROR 관련 문의합니다.,정***,2016-08-03,완료
11517,SERVICE KEY IS NOT REGISTERED ERROR.,안***,2016-08-03,완료
11516,SERVICE KEY IS NOT REGISTERED ERROR.,김***,2016-08-03,완료
11514,도로명 주소 조회 API  - 서버입력 형,이***,2016-08-03,완료
11511,도로명 주소 조회 API,이***,2016-08-03,완료
11505,GIS건물통합조회 이거 어떻게 하는건가요?,이***,2016-08-02,완료
11508,SERVICE KEY IS NOT REGISTERED ERROR.,유***,2016-08-03,완료
11510,오픈 API 이용관련 문의입니다.(SERVICE KEY IS NOT REGISTERED ERROR.),정***,2016-08-03,완료
11506,인증키 관련 문의,이***,2016-08-02,완료
11504,SERVICE ERROR NORMAL SERVICE 403 오류,이***,2016-08-02,완료
11495,API 운영신청 승인 부탁드립니다.,정***,2016-08-02,완료
11503,SERVICE KEY IS NOT REGISTERED ERROR.,김***,2016-08-02,완료
11502,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR,이***,2016-08-02,완료
11491,이거 언제쯤이면 나올까요?,이***,2016-08-01,완료
11492,중복되는 결과가 반환됩니다.,류***,2016-08-01,완료
11500,SERVICE KEY IS NOT REGISTERED ERROR.,백***,2016-08-02,완료
11501,대기오염정보조회 API에 관련하여 문의 드립니다.,변***,2016-08-02,완료
11498,일일 트래픽 관련 질문드립니다.,박***,2016-08-02,완료
11499,SERVICE ACCESS DENIED ERROR 다시 문의합니다.,김***,2016-08-02,완료
11471,요청 url이 안되네요,김***,2016-07-29,완료
11497,일일 트래픽 관련 질문드립니다.,박***,2016-08-02,완료
11494,SERVICE ACCESS DENIED ERROR 확인 부탁드립니다 :),김***,2016-08-02,완료
11488,"미세먼지, 오존농도 관련 api문의 합니다",이***,2016-08-01,완료
11489,SERVICE KEY IS NOT RESISTERED ERROR 질문,신***,2016-08-01,완료
11487,건축정보 API관련 문의드립니다.,박***,2016-08-01,완료
11484,사이트 관련 질문입니다,한***,2016-08-01,완료
11483,SERVICE KEY IS NOT REGISTERED ERROR가 발생합니다.,김***,2016-08-01,완료
11486,얼마전에 인증키문제로 문의드렸엇는데,김***,2016-08-01,완료
11479,표준데이터 API 문제 문의,윤***,2016-08-01,완료
11475,api 호출 503 에러 문제,정***,2016-07-31,완료
11482,국립중앙의료원 호출 불가,황***,2016-08-01,완료
11478,일일 트래픽 사용량 관련 문의,남***,2016-08-01,완료
11440,방위사업청 입찰정보 api문의,박***,2016-07-26,완료
11476,해당 url이 되질 않습니다.,김***,2016-07-31,완료
11477,SERVICE KEY IS NOT REGISTERED ERROR 오류,김***,2016-08-01,완료
11464,연장 신청할 경우 서비스가 중지되는 현상,김***,2016-07-29,완료
11472,SERVICE ACCESS DENIED ERROR.,최***,2016-07-29,완료
11467,서비스 키 문제,이***,2016-07-29,완료
11470,아파트 관리비 관련 문의,이***,2016-07-29,완료
11468,기관회원문의,송***,2016-07-29,완료
11462,추가 질문,이***,2016-07-28,완료
11466,SERVICE KEY IS NOT REGISTERED ERROR.,최***,2016-07-29,완료
11465,Service key is not registered error,정***,2016-07-29,완료
11463,인증키 문제,김***,2016-07-29,완료
11461,openapi 자동화 툴 관련,유*****,2016-07-28,완료
11459,공공데이터 DB화 문의,강***,2016-07-28,완료
11458,SERVICE KEY IS NOT REGISTERED ERROR.,정***,2016-07-28,완료
11456,SERVICE ACCESS DENIED ERROR,박***,2016-07-28,완료
11455,SERVICE KEY IS NOT REGISTERED ERROR 문의,강***,2016-07-28,완료
11454,현재 상황 어떻게 되었나요?,이***,2016-07-27,완료
11428,승강기 정보 및 검사이력 서비스 상세기능정보 추가 문의,이***,2016-07-25,완료
11411,"승강기 정보 및 검사이력 서비스에서 2016년 6월 30일 이후에 입력된 승강기정보에 적재하중,정원,속도가 안나오네요.",이***,2016-07-22,완료
11451,SERVICE KEY IS NOT REGISTERED ERROR,백***,2016-07-27,완료
11448,도착시간정보 및 예상소요시간,이***,2016-07-27,완료
11450,SERVICE ACCESS DENIED ERROR,박***,2016-07-27,완료
11442,타 브라우저는 지원하지 않나요?,신***,2016-07-26,완료
11445,기반정보 관리 서비스 승인이 언제쯤 될까요,장***,2016-07-27,완료
11443,SERVICE KEY IS NOT REGISTERED ERROR,정***,2016-07-26,완료
11435,지상정보조회서비스 문의,김***,2016-07-26,완료
11439,신청 심의 문의,이***,2016-07-26,완료
11436,SERVICE KEY IS NOT REGISTERED ERROR 관련 질문드립니다.,김***,2016-07-26,완료
11434,SERVICE KEY IS NOT REGISTERED ERROR 오류 확인부탁드립니다.,주***,2016-07-26,완료
11425,울산버스 BIS api 관련 문의 입니다 ~,김***,2016-07-25,완료
11431,SERVICE ACCESS DENIED ERROR.,신***,2016-07-26,완료
11430,SERVICE KEY IS NOT REGISTERED ERROR 문의 입니다.,오***,2016-07-26,완료
11429,자료공개 청구 후,이***,2016-07-26,완료
11424,승강기 정보 및 검사이력 서비스 상세기능정보 문의,이***,2016-07-25,완료
11426,담당자로 공문을 보내야하는데,정***,2016-07-25,완료
11423,울산 버스 정보 오픈 api를 이용하려는데..,신***,2016-07-25,완료
11422,동네예보 API연계시,김***,2016-07-25,완료
11420,전국약국조회서비스 신청,선***,2016-07-25,완료
11418,활용사례등록 부탁드립니다.,이***,2016-07-25,완료
11417,항공기 운항정보 api에서 문의드립니다.,김***,2016-07-25,완료
11416,대법원 경매자료 검색 open api,현***,2016-07-25,완료
11419,자바스크립트로 공공데이터 사용 질문이 있습니다.,김***,2016-07-25,완료
11394,서비스 접근거부 오류에 대해 문의 있습니다.,김***,2016-07-21,완료
11330,건축물대장 서비스 전유공용면적 조회 문의,블******,2016-07-14,완료
11413,"API 요청에 대하여 ""등록되지 않는 서비스키입니다."" 라는 메시지가 나옵니다.",오***,2016-07-23,완료
11412,service key not registered,강***,2016-07-23,완료
11414,이미 사용하는 서비스키인데 다른 서비스 활용시 인증되지 않은 키로 나옵니다.,정***,2016-07-23,완료
