No,Title,Writer,Date,Status
7072,안녕하세요 오산에서 수원으로 통학하는 학생입니다,김***,2015-07-23,완료
7067,경기도 버스 도착정보 api 문의입니다.,김***,2015-07-23,완료
7059,교습소 API 설명서는 어디서 보나여?,김***,2015-07-22,완료
7057,전국 시내버스 노선정보,전**,2015-07-22,완료
7025,부산 문화/축제/전시/미술 정보 관련해서 말씀드리겠습니다,김***,2015-07-21,완료
7048,인증키 오류,권***,2015-07-22,완료
7047,새우편번호 관련 인증키가 등록이 되지 않았다고 나오네요,유***,2015-07-22,완료
7046,우편도로조회체크해주세요,양***,2015-07-22,완료
7030,국립 수목원제공 식물자원 서비스 API신청,김***,2015-07-22,완료
7041,개발계정과 운영계정의 차이점이 무엇인가요??,김**,2015-07-22,완료
7056,인증키 오류,박***,2015-07-22,완료
7028,기상청 404 오류 관련,김***,2015-07-21,완료
7038,5자리 우편번호,최***,2015-07-22,완료
7042,서버 응답 없음 오류가 발생합니다.,이***,2015-07-22,완료
7032,계정 승인 좀...,엄***,2015-07-22,완료
7043,새우편주소 조회가 안됩니다.,양***,2015-07-22,완료
7024,5자리 우편번호,최***,2015-07-21,완료
7019,5자리 우편번호,최***,2015-07-21,완료
7011,[전국 병의원 찾기 서비스] JSON 데이터포맷 사용 가능 여부 문의,이***,2015-07-21,완료
7006,API 승인 요청 관련,곽***,2015-07-21,완료
7002,개발 승인 요청,김***,2015-07-21,완료
7013,새우편번호 지번 / 활용 신청 했는대 접근 거부라고 나오네요,김***,2015-07-21,완료
6999,기상청 API를 사용하려고 하는데 데이터 결과가 안나옵니다.,전***,2015-07-21,완료
6997,안녕하세요 트래픽 관련 문의 입니다.,f******,2015-07-21,완료
6988,문의드립니다.,길***,2015-07-20,완료
6990,"분명 승인 받은 api 인데 ""인증되지 않은 키 입니다."" 라고 나옵니다.",김***,2015-07-20,완료
6984,공공데이터 표준 적용,이***,2015-07-20,완료
6992,새주소 5자리 우편번호 조회 서비스,남***,2015-07-20,완료
6979,안녕하세요 트래픽관련 URL과 같이 문의 드립니다.,임***,2015-07-19,완료
6980,동네예보정보조회서비스 SERVICE KEY IS NOT REGISTERED ERROR,이***,2015-07-20,완료
6983,조달청 API 에러메시지 문의,박***,2015-07-20,완료
6966,SERVICE ACCESS DENIED ERROR 관련 문의,김***,2015-07-17,완료
6972,기상청 동네예보화 정보 서비스( 단기정보 조회),김***,2015-07-17,완료
6970,중지신청했는데.,조***,2015-07-17,완료
6971,api 인증키 발급관련,전***,2015-07-17,완료
6974,SERVICE ACCESS DENIED ERROR.(우편번호 정보제공),김***,2015-07-17,완료
6973,새우편번호 주소 API URL 주소 어떤게 맞는건가요?,윤***,2015-07-17,완료
