No,Title,Writer,Date,Status
9029,며칠전 데이터 조회 안되는 문제로 문의 드렸었습니다,허**,2016-01-22,완료
9007,영업소간 교통량 정보 현황을 얻어올 수 없어서 문의 남깁니다.,허**,2016-01-20,완료
9077,[국립중앙의료원]에서 제공하는 [전국 병‧의원 찾기 서비스] API 문의,김***,2016-01-26,완료
9075,국립중앙 박물관 오픈API 열람,김***,2016-01-26,완료
9071,오류신고 아이콘 오류,오***,2016-01-26,완료
9072,동네예보 데이터 문의,이***,2016-01-26,완료
9069,공공데이터 등록 심의 문의 드립니다.,최***,2016-01-26,완료
9059,나라장터 계약현황 물품 계약물품 정보 목록을 조회 문의,박***,2016-01-25,완료
9066,국토부에서 관리하는 버스 API 트래픽증가 요청 관련..,부**,2016-01-26,완료
9058,우편번호 문의 SERVICE KEY IS NOT REGISTERED ERROR,박***,2016-01-25,완료
9061,SERVICE ACCESS DENIED ERROR,박***,2016-01-25,완료
9055,버스 도착 정보 조회 (경기도) open API 관련,함***,2016-01-25,완료
9056,기상청 중기예보 api 관련하여 문의드립니다.,k*****,2016-01-25,완료
9047,부산시 시내버스 운행정보 서비스 장애,장***,2016-01-25,완료
9051,날씨 api 사용 문의,최***,2016-01-25,완료
9052,전국 영화상영관 현황 open api,박***,2016-01-25,완료
8980,이중섭미술관 데이터 관련 질문입니다.,조***,2016-01-18,완료
9049,날씨와 영화관 api,최***,2016-01-25,완료
9046,전국 영화상영관 현황 open api,김***,2016-01-24,완료
9048,공공데이터 중기에보 부분 활용신청.,음***,2016-01-25,완료
9028,"기상청 생활기상지수, 보건기상지수 서비스요청건수 초과에러",김***,2016-01-22,완료
9030,REGISTERED ERROR,신***,2016-01-22,완료
9034,활용사례등록정보 변경,김***,2016-01-22,완료
9040,동네예보(신 ) 운영계정으로 전환되었는데요..,음***,2016-01-22,완료
9035,새우편번호로 기존 우편번호 조회 API 문의,이***,2016-01-22,완료
9036,OPEN API 오류,오***,2016-01-22,완료
9031,버스노선정보조회 서비스 관련 문의입니다.,공***,2016-01-22,완료
9022,데이터 조회 불가능,김***,2016-01-21,완료
9005,부산시 시내버스 운행정보 서비스 장애,장***,2016-01-20,완료
9004,부산시 공공 버스정보시스템 장애 문의,김***,2016-01-19,완료
9014,부산시 시내버스 운행정보 서비스 장애,장***,2016-01-20,완료
9024,대기오염정보 조회 서비스,김***,2016-01-21,완료
9023,기상청-보건기상예보 데이터 누락,김***,2016-01-21,완료
9015,기상 일기도 결과 이미지 오류,김***,2016-01-20,완료
9017,지하철 정보 데이터에서 시간정보 중 날짜값 문제,서***,2016-01-20,완료
9008,미리보기 에러,김***,2016-01-20,완료
9013,대기정보 호출 시 에러 문의,김***,2016-01-20,완료
9010,전문연구요원제도의 향후 운영계획에 대해 문의합니다.,노***,2016-01-20,완료
8996,대학경쟁력알림 서비스,고******,2016-01-19,완료
9003,징병검사 신상명세서 사전작성 관련 문의입니다..,윤***,2016-01-19,완료
9000,부산시 시내버스 운행정보 서비스  장애,장***,2016-01-19,완료
8976,안녕하세요. 데이터 오류가 있어 알려드립니다.,김***,2016-01-17,완료
8995,날씨 공공 DB 관련,최***,2016-01-19,완료
8986,1~5단계 데이터 포맷 질문입니다.,이***,2016-01-18,완료
8990,입영연기에 대해서..,이***,2016-01-18,완료
8987,운영계정 관련 문의 드립니다,이***,2016-01-18,완료
8988,열차정보 서비스 데이터 값이 없습니다,백***,2016-01-18,완료
8982,재검에 관하여 문의 드립니다,이***,2016-01-18,완료
8974,공공 데이터의 주기적인 자동 업로드 기능,박***,2016-01-15,완료
8978,이중섭미술관 이중섭작품 서비스 상세 요청 메시지 관련 문의입니다.,조***,2016-01-18,완료
8975,동반입대질문,이***,2016-01-17,완료
8977,의무병 서류제출관련해서 문의드립니다.,양***,2016-01-18,완료
8973,병역,김***,2016-01-15,완료
8970,공공데이터 세부 분류 질문,이***,2016-01-15,완료
8971,운영계정 연장 신청시 심의기간(2~3일) 동안 사용불가능 불합리,(*****,2016-01-15,완료
8967,지난번 문의결과 아직 안주셨는데..2,황***,2016-01-15,완료
8964,동네예보문의,정***,2016-01-15,완료
8961,[긴급] 트래픽증가신청 메일 긴급처리필요합니다.,김***,2016-01-14,완료
8962,해외에서 사용가능한 대표번호?,김***,2016-01-14,완료
8963,동네 예보 정보 조회시 인증키 오류 문의,강***,2016-01-14,완료
8950,중기예보조회 SERVICE DENIED ERROR 관련,정***,2016-01-14,완료
8954,추가 질문드립니다.,여***,2016-01-14,완료
8958,api key 인증오류,백***,2016-01-14,완료
8831,해파리 정보 관련,백***,2016-01-05,완료
8953,정류소정보조회 서비스,박***,2016-01-14,완료
8951,api 오류,엄***,2016-01-14,완료
8690,처방정보 서비스 api 관련 문의,트******,2015-12-21,완료
8635,API Key 인증오류,이***,2015-12-16,완료
8820,생필품 가격정보 조회 서비스 90 에러건,최***,2016-01-04,완료
8923,API 오류 관련,박***,2016-01-11,완료
8948,OpenAPI응답 문제..,오***,2016-01-14,완료
8937,자전거 DB,김***,2016-01-13,완료
8942,지난번 문의결과 아직 안주셨는데..,황***,2016-01-13,완료
8940,api 결과값 오류 문의,여***,2016-01-13,완료
8943,중기예보정보조회 서비스key관련,이***,2016-01-13,완료
8941,Open api 신청 문제,공***,2016-01-13,완료
8938,날씨데이터 사용관련,정***,2016-01-12,완료
8936,부산 도시철도 열차시각표 조회 서비스 사용에 대해 문의 드립니다,손***,2016-01-12,완료
8935,기상자료 요청 가능한지요?,박***,2016-01-12,완료
8934,전국자전거도로조회는 어디서 하나요?,김***,2016-01-12,완료
8927,(신)동네예보정보조회서비스의 초단기실황조회가 기상청 홈페이지에 나오는 현재온도가 다른 문제.,위******,2016-01-12,완료
8929,고속버스 터미널 찾기 open api,신***,2016-01-12,완료
8928,다시문의 드립니다 LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR.,이***,2016-01-12,완료
8933,공공데이터 등록 심의,김***,2016-01-12,완료
8925,이중섭미술관 이중섭 작품 	SERVICE KEY IS NOT REGISTERED ERROR 관련문의 입니다.,조***,2016-01-11,완료
8920,어린이 생물찾기 API관련문의입니다.,서***,2016-01-11,완료
8926,인증서 없이 병무신청,이***,2016-01-11,완료
8913,여전히 LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR 나옵니다,이***,2016-01-11,완료
8921,국가별 기본정보 API 관련 문의입니다.,서***,2016-01-11,완료
8917,처리갯수 제한문의,김***,2016-01-11,완료
8908,SERVICE KEY IS NOT REGISTERED ERROR,정***,2016-01-09,완료
8916,출몰시각 정보를 가져올 수 없네요 확인 부탁드립니다.,김***,2016-01-11,완료
8924,에러문의,허***,2016-01-11,완료
8922,버스위치정보조회 서비스 샘플 URL질문입니다.,김***,2016-01-11,완료
8918,API 응답관련해서 문의 드립니다.,김***,2016-01-11,완료
8911,API가 응답하지 않습니다.,오***,2016-01-11,완료
